1100
10122
20/2: MAP 99.55 MAR 0.00 Time 197.62
22/4: MAP 99.55 MAR 0.00 Time 197.37
24/6: MAP 99.55 MAR 0.00 Time 197.13
26/8: MAP 99.55 MAR 0.00 Time 197.58
28/10: MAP 99.55 MAR 0.00 Time 197.93
30/12: MAP 99.55 MAR 0.00 Time 198.75
32/14: MAP 99.55 MAR 0.00 Time 200.40
34/16: MAP 99.55 MAR 0.00 Time 200.41
36/18: MAP 99.55 MAR 0.00 Time 202.79
38/20: MAP 99.55 MAR 0.00 Time 203.28
40/22: MAP 99.55 MAR 0.00 Time 204.58
42/24: MAP 99.55 MAR 0.00 Time 205.68
44/26: MAP 99.55 MAR 0.00 Time 207.78
46/28: MAP 99.55 MAR 0.00 Time 206.76
48/30: MAP 99.55 MAR 0.00 Time 205.77
50/32: MAP 99.55 MAR 0.00 Time 206.30
52/34: MAP 99.55 MAR 0.00 Time 204.21
54/36: MAP 99.55 MAR 0.00 Time 195.47
56/38: MAP 99.55 MAR 0.00 Time 179.69
58/40: MAP 99.55 MAR 0.00 Time 187.37
FINISHED
